natural_language_query,sql_query
What is the total revenue from all receipts?,SELECT SUM(TOTAL) AS TotalRevenue FROM TB_RECEIPT
How many receipts were created in the last 30 days?,"SELECT COUNT(*) AS ReceiptCount FROM TB_RECEIPT WHERE DATE_TIME >= DATEADD(day, -30, GETDATE())"
What were total sales by store this month?,"SELECT S.STORE_NAME, SUM(R.TOTAL) AS TotalSales FROM TB_RECEIPT R INNER JOIN TB_STORES S ON R.STORE_ID = S.STORE_ID WHERE R.DATE_TIME >= DATEADD(month, DATEDIFF(month, 0, GETDATE()), 0) AND R.DATE_TIME < DATEADD(month, DATEDIFF(month, 0, GETDATE()) + 1, 0) GROUP BY S.STORE_NAME ORDER BY TotalSales DESC"
Show top 10 customers by total spend this year,"SELECT TOP 10 C.CUSTOMER_ID, C.FIRST_NAME, C.LAST_NAME, SUM(R.TOTAL) AS TotalSpend FROM TB_RECEIPT R INNER JOIN TB_CUSTOMERS C ON R.CUSTOMER_ID = C.CUSTOMER_ID WHERE R.DATE_TIME >= DATEFROMPARTS(YEAR(GETDATE()), 1, 1) AND R.DATE_TIME < DATEADD(day, 1, CAST(GETDATE() AS date)) GROUP BY C.CUSTOMER_ID, C.FIRST_NAME, C.LAST_NAME ORDER BY TotalSpend DESC"
What is the average transaction value per store?,"SELECT S.STORE_NAME, AVG(R.TOTAL) AS AvgTransactionValue FROM TB_RECEIPT R INNER JOIN TB_STORES S ON R.STORE_ID = S.STORE_ID GROUP BY S.STORE_NAME ORDER BY AvgTransactionValue DESC"
What is the total tax collected by store?,"SELECT S.STORE_NAME, SUM(ISNULL(R.TAX1, 0) + ISNULL(R.TAX2, 0)) AS TotalTax FROM TB_RECEIPT R INNER JOIN TB_STORES S ON R.STORE_ID = S.STORE_ID GROUP BY S.STORE_NAME ORDER BY TotalTax DESC"
How many units sold by brand last month?,"SELECT TS.BRAND, SUM(RL.QUANTITY) AS TotalUnits FROM TB_RECEIPTLINE RL INNER JOIN TB_RECEIPT R ON RL.RECEIPT_NUM = R.RECEIPT_NUM INNER JOIN TB_SKU_BUCKETS SB ON RL.SKU_BUCKET_ID = SB.SKU_BUCKET_ID INNER JOIN TB_SKUS SK ON SB.SKU_ID = SK.SKU_ID INNER JOIN TB_STYLES TS ON SK.STYLE_ID = TS.STYLE_ID WHERE R.DATE_TIME >= DATEADD(month, DATEDIFF(month, 0, GETDATE()) - 1, 0) AND R.DATE_TIME < DATEADD(month, DATEDIFF(month, 0, GETDATE()), 0) GROUP BY TS.BRAND ORDER BY TotalUnits DESC"
What were sales for store 1 this month?,"SELECT SUM(R.TOTAL) AS TotalSales FROM TB_RECEIPT R WHERE R.STORE_ID = 1 AND R.DATE_TIME >= DATEADD(month, DATEDIFF(month, 0, GETDATE()), 0) AND R.DATE_TIME < DATEADD(month, DATEDIFF(month, 0, GETDATE()) + 1, 0)"
List receipts that are not fully paid,"SELECT RECEIPT_NUM, TOTAL, PAID, TOTAL_DUE FROM TB_RECEIPT WHERE TOTAL_DUE > 0"
Which employee processed the most receipts?,"SELECT TOP 1 E.FIRST_NAME, E.LAST_NAME, COUNT(R.RECEIPT_NUM) AS ReceiptCount FROM TB_RECEIPT R INNER JOIN TB_EMPLOYEE E ON R.EMPLOYEE_ID = E.EMPLOYEE_ID GROUP BY E.FIRST_NAME, E.LAST_NAME ORDER BY ReceiptCount DESC"
